日期,最新,开盘,高,低,交易量,百分比变化
2018/7/1,3364,"3,504.46","3,506.75","3,319.41",-,-4.19%
2018/6/1,3511,"3,789.67","3,859.85","3,416.95",1.65M,-7.66%
2018/5/1,3802,"3,769.93","3,937.46","3,722.07",1.73M,1.21%
2018/4/1,3757,"3,897.01","3,958.71","3,708.11",1.71M,-3.63%
2018/3/1,3899,"3,994.87","4,139.53","3,794.26",2.34M,-3.11%
2018/2/1,4024,"4,276.34","4,287.39","3,759.15",2.16M,-5.90%
2018/1/1,4276,"4,045.21","4,403.34","4,045.21",3.65M,6.08%
2017/12/1,4031,"4,003.56","4,086.93","3,955.44",1.99M,0.62%
2017/11/1,4006,"4,007.91","4,260.64","3,963.03",3.09M,-0.02%
2017/10/1,4007,"3,910.11","4,033.34","3,855.47",1.81M,4.44%
2017/9/1,3837,"3,825.34","3,865.29","3,808.38",2.40M,0.38%
2017/8/1,3822,"3,738.74","3,866.94","3,645.09",2.94M,2.25%
2017/7/1,3738,"3,667.23","3,755.19","3,610.46",2.62M,1.94%
2017/6/1,3667,"3,485.22","3,676.53","3,460.45",2.02M,4.98%
2017/5/1,3493,"3,427.92","3,515.08","3,312.89",1.97M,1.54%
2017/4/1,3440,"3,476.42","3,526.82","3,399.54",2.29M,-0.47%
2017/3/1,3456,"3,452.21","3,505.98","3,412.69",2.14M,0.09%
2017/2/1,3453,"3,390.93","3,492.96","3,347.43",1.77M,1.91%
2017/1/1,3388,"3,313.95","3,395.88","3,264.21",1.47M,2.35%
2016/12/1,3310,"3,543.96","3,575.97","3,267.05",2.54M,-6.44%
2016/11/1,3538,"3,338.71","3,583.72","3,322.08",3.19M,6.05%
2016/10/1,3336,"3,265.36","3,382.83","3,258.96",1.48M,2.55%
2016/9/1,3253,"3,326.74","3,357.36","3,214.44",1.44M,-2.24%
2016/8/1,3328,"3,196.43","3,418.69","3,156.75",2.37M,3.87%
2016/7/1,3204,"3,156.93","3,300.99","3,134.02",2.32M,1.59%
2016/6/1,3154,"3,172.96","3,201.75","3,033.97",1.69M,-0.49%
2016/5/1,3170,"3,159.82","3,222.88","3,027.44",1.59M,0.41%
2016/4/1,3157,"3,213.67","3,296.52","3,107.37",2.06M,-1.91%
2016/3/1,3218,"2,881.34","3,267.78","2,863.32",3.06M,11.84%
2016/2/1,2877,"2,939.04","3,128.21","2,821.21",1.71M,-2.33%
2016/1/1,2946,"3,725.86","3,726.24","2,839.29",2.45M,-21.04%
2015/12/1,3731,"3,562.32","3,926.69","3,536.12",3.36M,4.62%
2015/11/1,3566,"3,489.23","3,891.77","3,452.62",4.39M,0.91%
2015/10/1,3534,"3,324.98","3,620.76","3,293.97",3.04M,10.34%
2015/9/1,3203,"3,296.53","3,426.65","3,131.37",3.17M,-4.86%
2015/8/1,3367,"3,766.07","4,113.16","2,952.01",5.34M,-11.79%
2015/7/1,3817,"4,408.98","4,526.13","3,537.83",9.53M,-14.67%
2015/6/1,4473,"4,862.76","5,380.43","4,000.93",9.50M,-7.60%
2015/5/1,4841,"4,757.64","5,226.84","4,445.59",7.73M,1.91%
2015/4/1,4750,"4,057.50","4,839.08","4,046.94",9.56M,17.25%
2015/3/1,4051,"3,603.45","4,166.02","3,417.49",6.84M,13.39%
2015/2/1,3573,"3,360.19","3,594.81","3,285.93",2.80M,4.03%
2015/1/1,3434,"3,566.09","3,689.75","3,325.68",5.67M,-2.81%
2014/12/1,3534,"2,825.61","3,542.34","2,804.29",9.25M,25.81%
2014/11/1,2809,"2,515.82","2,809.54","2,482.98",4.16M,11.98%
2014/10/1,2508,"2,460.87","2,512.19","2,361.68",2.31M,2.34%
2014/9/1,2451,"2,340.93","2,462.67","2,338.53",2.49M,4.82%
2014/8/1,2338,"2,341.23","2,380.77","2,309.64",2.06M,-0.51%
2014/7/1,2350,"2,169.20","2,350.55","2,134.80",1.84M,8.55%
2014/6/1,2165,"2,157.64","2,196.34","2,117.31",919.32K,0.40%
2014/5/1,2156,"2,152.59","2,185.05","2,096.51",942.77K,-0.10%
2014/4/1,2159,"2,143.72","2,290.74","2,131.78",1.30M,0.58%
2014/3/1,2146,"2,173.91","2,194.22","2,077.76",1.46M,-1.50%
2014/2/1,2179,"2,187.34","2,331.70","2,133.55",1.36M,-1.07%
2014/1/1,2202,"2,323.43","2,325.99","2,156.46",1.12M,-5.48%
2013/12/1,2330,"2,423.97","2,486.64","2,259.57",1.35M,-4.47%
2013/11/1,2439,"2,373.96","2,460.56","2,279.01",1.43M,2.75%
2013/10/1,2374,"2,406.41","2,483.13","2,327.90",1.51M,-1.47%
2013/9/1,2409,"2,319.96","2,527.38","2,297.45",1.86M,4.11%
2013/8/1,2314,"2,206.00","2,423.08","2,200.63",1.58M,5.51%
2013/7/1,2193,"2,187.09","2,351.22","2,149.79",1.50M,-0.35%
2013/6/1,2201,"2,605.97","2,625.94","2,023.17",1.11M,-15.57%
2013/5/1,2606,"2,434.60","2,661.23","2,423.08",1.44M,6.50%
2013/4/1,2447,"2,486.43","2,542.45","2,416.62",943.49K,-1.91%
2013/3/1,2495,"2,671.84","2,680.85","2,482.49",1.48M,-6.67%
