日期,最新,开盘,高,低,交易量,百分比变化
2018/7/1,5122 ,"5,217.51","5,238.33","5,054.73",-,-1.84%
2018/6/1,5218 ,"5,729.92","5,798.33","5,017.51",1.05M,-9.33%
2018/5/1,5754 ,"5,861.84","6,092.91","5,672.18",1.32M,-1.82%
2018/4/1,5861 ,"6,127.23","6,169.30","5,761.97",1.22M,-4.15%
2018/3/1,6115 ,"5,987.36","6,297.43","5,675.37",1.72M,1.51%
2018/2/1,6024 ,"6,181.00","6,196.71","5,490.62",108.58B,-2.68%
2018/1/1,6189 ,"6,263.15","6,449.03","6,170.16",1.72M,-0.98%
2017/12/1,6251 ,"6,259.96","6,334.87","6,053.24",1.22M,-0.20%
2017/11/1,6263 ,"6,559.52","6,673.75","6,186.03",1.56M,-4.52%
2017/10/1,6560 ,"6,682.58","6,711.93","6,460.05",1.23M,-0.65%
2017/9/1,6603 ,"6,472.95","6,715.39","6,466.13",2.05M,2.05%
2017/8/1,6470 ,"6,293.06","6,470.94","6,153.60",2.23M,2.74%
2017/7/1,6298 ,"6,142.17","6,299.80","5,842.96",1.78M,2.60%
2017/6/1,6138 ,"5,810.42","6,139.07","5,655.76",1.35M,5.40%
2017/5/1,5824 ,"6,205.10","6,236.89","5,668.72",1.29M,-6.25%
2017/4/1,6212 ,"6,450.90","6,632.00","6,052.88",1.58M,-2.97%
2017/3/1,6402 ,"6,446.44","6,555.79","6,365.45",1.60M,-0.76%
2017/2/1,6451 ,"6,227.46","6,482.25","6,190.83",1.29M,3.66%
2017/1/1,6224 ,"6,273.82","6,428.83","5,872.40",993.55K,-0.64%
2016/12/1,6264 ,"6,593.59","6,624.85","6,190.39",1.36M,-4.89%
2016/11/1,6586 ,"6,457.00","6,692.14","6,380.57",1.93M,2.06%
2016/10/1,6453 ,"6,364.52","6,563.52","6,345.33",1.16M,1.98%
2016/9/1,6328 ,"6,434.26","6,539.35","6,200.57",1.31M,-1.65%
2016/8/1,6434 ,"6,179.20","6,527.20","6,046.40",1.83M,3.73%
2016/7/1,6203 ,"6,133.72","6,515.88","6,078.63",1.98M,1.30%
2016/6/1,6123 ,"5,957.18","6,145.00","5,692.81",1.66M,2.96%
2016/5/1,5947 ,"5,991.83","6,226.88","5,559.69",1.35M,-0.64%
2016/4/1,5986 ,"6,129.72","6,421.73","5,888.06",1.70M,-2.77%
2016/3/1,6156 ,"5,361.79","6,211.14","5,294.54",2.07M,15.05%
2016/2/1,5350 ,"5,458.60","6,118.64","5,286.34",1.26M,-2.17%
2016/1/1,5469 ,"7,615.51","7,624.10","5,240.65",1.69M,-28.20%
2015/12/1,7618 ,"7,403.94","7,881.29","7,201.66",2.20M,2.83%
